invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,vat,total,date,time,payment_method,cogs,gross_margin_percentage,gross_income,rating,time_of_day,day_of_week,month
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.5100,451.71,2019-02-25,11:24:00,Ewallet,430.20,4.761904762,21.5100,4.8,Morning,Monday   ,February 
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.1970,277.14,2019-03-05,10:40:00,Ewallet,263.94,4.761904762,13.1970,5.1,Morning,Tuesday  ,March    
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.20,2,3.3200,69.72,2019-03-15,12:20:00,Credit card,66.40,4.761904762,3.3200,4.4,Afternoon,Friday   ,March    
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.6400,181.44,2019-02-17,11:15:00,Ewallet,172.80,4.761904762,8.6400,9.9,Morning,Sunday   ,February 
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.18,2019-03-02,17:36:00,Ewallet,265.89,4.761904762,13.2945,6.0,Evening,Saturday ,March    
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.0360,441.76,2019-03-22,19:20:00,Credit card,420.72,4.761904762,21.0360,8.5,Evening,Friday   ,March    
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.6760,35.20,2019-02-08,15:31:00,Cash,33.52,4.761904762,1.6760,6.7,Afternoon,Friday   ,February 
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.7670,184.11,2019-03-10,12:17:00,Credit card,175.34,4.761904762,8.7670,7.7,Afternoon,Sunday   ,March    
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.0900,463.89,2019-01-25,19:48:00,Cash,441.80,4.761904762,22.0900,9.6,Evening,Friday   ,January  
848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.21,2019-03-15,15:36:00,Cash,224.01,4.761904762,11.2005,7.4,Afternoon,Friday   ,March    
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.18,2019-02-25,19:39:00,Credit card,470.65,4.761904762,23.5325,4.8,Evening,Monday   ,February 
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.76,2019-01-28,12:43:00,Cash,702.63,4.761904762,35.1315,4.5,Afternoon,Monday   ,January  
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.5120,703.75,2019-01-10,14:49:00,Cash,670.24,4.761904762,33.5120,5.1,Afternoon,Thursday ,January  
595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.6580,202.82,2019-03-15,10:12:00,Credit card,193.16,4.761904762,9.6580,5.1,Morning,Friday   ,March    
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.8840,417.56,2019-02-06,10:42:00,Ewallet,397.68,4.761904762,19.8840,7.5,Morning,Wednesday,February 
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.4060,71.53,2019-01-07,12:28:00,Ewallet,68.12,4.761904762,3.4060,6.8,Afternoon,Monday   ,January  
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.6550,328.76,2019-03-10,19:15:00,Ewallet,313.10,4.761904762,15.6550,7.0,Evening,Sunday   ,March    
272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.3960,575.32,2019-01-15,17:17:00,Ewallet,547.92,4.761904762,27.3960,4.7,Evening,Tuesday  ,January  
333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.9680,461.33,2019-03-23,13:24:00,Ewallet,439.36,4.761904762,21.9680,7.6,Afternoon,Saturday ,March    
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.0480,253.01,2019-03-03,13:01:00,Cash,240.96,4.761904762,12.0480,7.7,Afternoon,Sunday   ,March    
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.3360,91.06,2019-01-17,18:45:00,Ewallet,86.72,4.761904762,4.3360,7.9,Evening,Thursday ,January  
554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.6110,117.83,2019-02-02,10:11:00,Cash,112.22,4.761904762,5.6110,6.3,Morning,Saturday ,February 
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.7360,435.46,2019-02-08,13:03:00,Cash,414.72,4.761904762,20.7360,5.6,Afternoon,Friday   ,February 
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.70,8,39.4800,829.08,2019-03-04,20:39:00,Cash,789.60,4.761904762,39.4800,7.6,Evening,Monday   ,March    
617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.5370,32.28,2019-03-16,19:47:00,Cash,30.74,4.761904762,1.5370,7.2,Evening,Saturday ,March    
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.7920,394.63,2019-03-09,18:00:00,Cash,375.84,4.761904762,18.7920,9.5,Evening,Saturday ,March    
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.72,2019-02-27,17:24:00,Credit card,510.21,4.761904762,25.5105,8.4,Evening,Wednesday,February 
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.09,2019-02-06,15:47:00,Ewallet,180.09,4.761904762,9.0045,4.1,Afternoon,Wednesday,February 
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.6790,119.26,2019-02-10,12:45:00,Credit card,113.58,4.761904762,5.6790,8.1,Afternoon,Sunday   ,February 
574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.3150,867.62,2019-03-19,17:08:00,Ewallet,826.30,4.761904762,41.3150,7.9,Evening,Tuesday  ,March    
326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.40,7,31.9900,671.79,2019-02-03,10:19:00,Cash,639.80,4.761904762,31.9900,9.5,Morning,Sunday   ,February 
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.10,2019-02-10,15:10:00,Cash,222.95,4.761904762,11.1475,8.5,Afternoon,Sunday   ,February 
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.5740,75.05,2019-03-22,14:42:00,Ewallet,71.48,4.761904762,3.5740,6.5,Afternoon,Friday   ,March    
778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.20,2019-01-25,15:46:00,Credit card,15.43,4.761904762,0.7715,6.1,Afternoon,Friday   ,January  
242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.6160,33.94,2019-03-07,11:49:00,Ewallet,32.32,4.761904762,1.6160,6.5,Morning,Thursday ,March    
399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.3920,722.23,2019-02-28,19:01:00,Cash,687.84,4.761904762,34.3920,8.2,Evening,Thursday ,February 
106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.4340,93.11,2019-03-27,11:26:00,Cash,88.68,4.761904762,4.4340,5.8,Morning,Wednesday,March    
635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.60,8,35.8400,752.64,2019-02-07,11:28:00,Ewallet,716.80,4.761904762,35.8400,6.6,Morning,Thursday ,February 
817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.1750,759.68,2019-01-20,15:55:00,Cash,723.50,4.761904762,36.1750,5.4,Afternoon,Sunday   ,January  
120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.1830,192.84,2019-03-12,20:36:00,Cash,183.66,4.761904762,9.1830,9.3,Evening,Tuesday  ,March    
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.7110,77.93,2019-02-15,17:47:00,Credit card,74.22,4.761904762,3.7110,10.0,Evening,Friday   ,February 
803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.7190,351.10,2019-02-24,10:55:00,Ewallet,334.38,4.761904762,16.7190,7.0,Morning,Sunday   ,February 
347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.41,2019-02-03,13:40:00,Ewallet,495.63,4.761904762,24.7815,10.0,Afternoon,Sunday   ,February 
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.9050,166.01,2019-03-06,12:27:00,Credit card,158.10,4.761904762,7.9050,8.6,Afternoon,Wednesday,March    
853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.1480,318.11,2019-02-14,14:35:00,Cash,302.96,4.761904762,15.1480,7.6,Afternoon,Thursday ,February 
877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.9350,166.64,2019-03-13,16:40:00,Cash,158.70,4.761904762,7.9350,5.8,Evening,Wednesday,March    
838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.3470,70.29,2019-02-10,15:43:00,Ewallet,66.94,4.761904762,3.3470,6.7,Afternoon,Sunday   ,February 
109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.2830,614.94,2019-01-07,15:01:00,Ewallet,585.66,4.761904762,29.2830,9.9,Afternoon,Monday   ,January  
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.3850,827.09,2019-01-24,10:04:00,Cash,787.70,4.761904762,39.3850,6.4,Morning,Thursday ,January  
382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.25,2019-02-02,18:50:00,Cash,18.33,4.761904762,0.9165,4.3,Evening,Saturday ,February 
393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.7400,939.54,2019-01-06,12:46:00,Credit card,894.80,4.761904762,44.7400,9.6,Afternoon,Sunday   ,January  
796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.0600,652.26,2019-02-11,16:19:00,Cash,621.20,4.761904762,31.0600,5.9,Evening,Monday   ,February 
510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.2780,152.84,2019-03-05,18:17:00,Ewallet,145.56,4.761904762,7.2780,4.0,Evening,Tuesday  ,March    
841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.7730,478.23,2019-03-09,18:21:00,Cash,455.46,4.761904762,22.7730,8.7,Evening,Saturday ,March    
287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.63,2019-01-22,10:55:00,Ewallet,672.03,4.761904762,33.6015,9.4,Morning,Tuesday  ,January  
732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.8250,437.33,2019-01-13,17:04:00,Credit card,416.50,4.761904762,20.8250,5.4,Evening,Sunday   ,January  
263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.0680,463.43,2019-01-09,14:20:00,Credit card,441.36,4.761904762,22.0680,8.6,Afternoon,Wednesday,January  
381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.09,2019-01-12,15:48:00,Credit card,180.09,4.761904762,9.0045,5.7,Afternoon,Saturday ,January  
829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.1550,822.26,2019-03-05,16:24:00,Ewallet,783.10,4.761904762,39.1550,6.6,Evening,Tuesday  ,March    
756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.0950,107.00,2019-01-22,18:56:00,Cash,101.90,4.761904762,5.0950,6.0,Evening,Tuesday  ,January  
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.7570,624.90,2019-01-21,14:42:00,Credit card,595.14,4.761904762,29.7570,5.5,Afternoon,Monday   ,January  
847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.5020,304.54,2019-01-26,19:56:00,Ewallet,290.04,4.761904762,14.5020,6.4,Evening,Saturday ,January  
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7000,161.70,2019-01-23,18:37:00,Ewallet,154.00,4.761904762,7.7000,6.6,Evening,Wednesday,January  
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.0720,337.51,2019-02-23,18:45:00,Credit card,321.44,4.761904762,16.0720,8.3,Evening,Saturday ,February 
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.78,2019-03-09,10:17:00,Cash,244.55,4.761904762,12.2275,6.6,Morning,Saturday ,March    
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.0710,610.49,2019-03-05,14:31:00,Ewallet,581.42,4.761904762,29.0710,4.0,Afternoon,Tuesday  ,March    
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.1300,401.73,2019-03-25,10:23:00,Cash,382.60,4.761904762,19.1300,9.9,Morning,Monday   ,March    
633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.2830,362.94,2019-03-27,20:35:00,Credit card,345.66,4.761904762,17.2830,7.3,Evening,Wednesday,March    
504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.59,2019-01-02,16:57:00,Cash,42.47,4.761904762,2.1235,5.7,Evening,Wednesday,January  
318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.0970,485.04,2019-02-27,17:55:00,Cash,461.94,4.761904762,23.0970,6.1,Evening,Wednesday,February 
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.4760,199.00,2019-01-23,10:25:00,Cash,189.52,4.761904762,9.4760,7.1,Morning,Wednesday,January  
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.4300,471.03,2019-01-26,19:54:00,Ewallet,448.60,4.761904762,22.4300,8.2,Evening,Saturday ,January  
873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.6930,161.55,2019-01-10,16:42:00,Ewallet,153.86,4.761904762,7.6930,5.1,Evening,Thursday ,January  
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.9620,608.20,2019-03-12,12:09:00,Credit card,579.24,4.761904762,28.9620,8.6,Afternoon,Tuesday  ,March    
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.24,2019-02-06,20:05:00,Credit card,89.75,4.761904762,4.4875,6.6,Evening,Wednesday,February 
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.8580,102.02,2019-03-08,20:38:00,Ewallet,97.16,4.761904762,4.8580,7.2,Evening,Friday   ,March    
766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.9350,922.64,2019-03-29,10:25:00,Ewallet,878.70,4.761904762,43.9350,5.1,Morning,Friday   ,March    
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.7350,78.44,2019-02-09,13:11:00,Cash,74.70,4.761904762,3.7350,4.1,Afternoon,Saturday ,February 
865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.16,2019-03-23,10:16:00,Ewallet,158.25,4.761904762,7.9125,9.3,Morning,Saturday ,March    
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.70,6,24.8100,521.01,2019-03-05,18:14:00,Cash,496.20,4.761904762,24.8100,7.4,Evening,Tuesday  ,March    
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.15,2019-03-26,19:20:00,Cash,48.71,4.761904762,2.4355,4.1,Evening,Tuesday  ,March    
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.30,2019-03-01,13:22:00,Cash,706.95,4.761904762,35.3475,7.2,Afternoon,Friday   ,March    
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.01,2019-02-01,11:27:00,Cash,207.63,4.761904762,10.3815,4.9,Morning,Friday   ,February 
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.4780,367.04,2019-03-28,16:44:00,Cash,349.56,4.761904762,17.4780,9.9,Evening,Thursday ,March    
716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.07,2019-03-19,18:19:00,Cash,212.45,4.761904762,10.6225,8.0,Evening,Tuesday  ,March    
704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.3350,931.04,2019-01-12,14:50:00,Ewallet,886.70,4.761904762,44.3350,7.3,Afternoon,Saturday ,January  
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.2140,172.49,2019-01-05,20:54:00,Credit card,164.28,4.761904762,8.2140,7.9,Evening,Saturday ,January  
630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.6390,391.42,2019-03-22,20:19:00,Cash,372.78,4.761904762,18.6390,7.4,Evening,Friday   ,March    
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.2910,321.11,2019-03-24,10:43:00,Cash,305.82,4.761904762,15.2910,4.2,Morning,Sunday   ,March    
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.9850,860.69,2019-03-03,14:30:00,Cash,819.70,4.761904762,40.9850,9.2,Afternoon,Sunday   ,March    
479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.6490,34.63,2019-02-05,11:32:00,Ewallet,32.98,4.761904762,1.6490,4.6,Morning,Tuesday  ,February 
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.36,2019-02-05,10:41:00,Credit card,294.63,4.761904762,14.7315,7.8,Morning,Tuesday  ,February 
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.4940,535.37,2019-02-15,12:44:00,Cash,509.88,4.761904762,25.4940,8.4,Afternoon,Friday   ,February 
645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.76,2019-01-19,20:07:00,Ewallet,522.63,4.761904762,26.1315,4.3,Evening,Saturday ,January  
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.47,2019-02-01,20:31:00,Credit card,727.11,4.761904762,36.3555,9.5,Evening,Friday   ,February 
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.0530,85.11,2019-03-02,13:01:00,Credit card,81.06,4.761904762,4.0530,7.1,Afternoon,Saturday ,March    
291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.4850,115.19,2019-03-05,12:29:00,Ewallet,109.70,4.761904762,5.4850,5.3,Afternoon,Tuesday  ,March    
659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.5680,53.93,2019-01-16,15:26:00,Ewallet,51.36,4.761904762,2.5680,5.2,Afternoon,Wednesday,January  
642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.4800,115.08,2019-02-02,20:48:00,Ewallet,109.60,4.761904762,5.4800,6.0,Evening,Saturday ,February 
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.3440,112.22,2019-01-20,20:38:00,Ewallet,106.88,4.761904762,5.3440,4.1,Evening,Sunday   ,January  
638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.8240,836.30,2019-02-14,17:03:00,Credit card,796.48,4.761904762,39.8240,5.2,Evening,Thursday ,February 
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.9920,419.83,2019-01-12,12:02:00,Credit card,399.84,4.761904762,19.9920,6.5,Afternoon,Saturday ,January  
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.9820,944.62,2019-03-09,17:26:00,Credit card,899.64,4.761904762,44.9820,4.2,Evening,Saturday ,March    
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.5640,536.84,2019-03-13,19:52:00,Credit card,511.28,4.761904762,25.5640,4.6,Evening,Wednesday,March    
268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.5880,474.35,2019-03-09,14:57:00,Ewallet,451.76,4.761904762,22.5880,7.3,Afternoon,Saturday ,March    
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.62,2019-03-10,18:44:00,Credit card,655.83,4.761904762,32.7915,4.5,Evening,Sunday   ,March    
870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.31,2019-01-27,13:26:00,Cash,161.25,4.761904762,8.0625,9.0,Afternoon,Sunday   ,January  
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.85,2019-01-08,16:17:00,Credit card,285.57,4.761904762,14.2785,5.9,Evening,Tuesday  ,January  
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.4160,575.74,2019-01-08,15:57:00,Ewallet,548.32,4.761904762,27.4160,8.5,Afternoon,Tuesday  ,January  
549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.6260,853.15,2019-02-08,11:15:00,Ewallet,812.52,4.761904762,40.6260,7.2,Morning,Friday   ,February 
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.8670,291.21,2019-01-25,13:18:00,Cash,277.34,4.761904762,13.8670,7.5,Afternoon,Friday   ,January  
802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.6390,580.42,2019-03-06,20:34:00,Cash,552.78,4.761904762,27.6390,8.3,Evening,Wednesday,March    
695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.9680,146.33,2019-02-10,18:36:00,Cash,139.36,4.761904762,6.9680,7.4,Evening,Sunday   ,February 
590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.2350,550.94,2019-02-17,14:40:00,Credit card,524.70,4.761904762,26.2350,8.8,Afternoon,Sunday   ,February 
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.30,6,24.3900,512.19,2019-03-08,16:43:00,Ewallet,487.80,4.761904762,24.3900,5.3,Evening,Friday   ,March    
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.5330,284.19,2019-02-18,19:39:00,Cash,270.66,4.761904762,13.5330,6.2,Evening,Monday   ,February 
700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.13,2019-01-18,20:59:00,Credit card,131.55,4.761904762,6.5775,8.8,Evening,Friday   ,January  
354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.3260,216.85,2019-02-18,15:39:00,Cash,206.52,4.761904762,10.3260,9.8,Afternoon,Monday   ,February 
241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.9550,545.06,2019-02-16,12:21:00,Cash,519.10,4.761904762,25.9550,8.2,Afternoon,Saturday ,February 
575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.50,8,29.0000,609.00,2019-03-16,19:25:00,Ewallet,580.00,4.761904762,29.0000,9.2,Evening,Saturday ,March    
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.80,10,44.9000,942.90,2019-01-23,13:00:00,Credit card,898.00,4.761904762,44.9000,5.4,Afternoon,Wednesday,January  
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.50,10,45.2500,950.25,2019-01-25,13:48:00,Cash,905.00,4.761904762,45.2500,8.1,Afternoon,Friday   ,January  
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.60,10,34.3000,720.30,2019-02-05,19:57:00,Cash,686.00,4.761904762,34.3000,9.1,Evening,Tuesday  ,February 
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.93,2019-02-22,10:36:00,Credit card,30.41,4.761904762,1.5205,8.4,Morning,Friday   ,February 
